"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Spain (ES)","19.11.2021 00:00 - 19.11.2021 01:00 (CET)","591","0","0","10641","841","165","0","0","0","","0","462","801","0","4942","57","100","34","243","0","6252"
"Spain (ES)","19.11.2021 01:00 - 19.11.2021 02:00 (CET)","596","0","0","10455","842","164","0","0","0","","0","443","827","0","4940","58","100","15","243","0","6038"
"Spain (ES)","19.11.2021 02:00 - 19.11.2021 03:00 (CET)","595","0","0","9642","843","165","0","0","0","","143","424","279","0","4940","57","100","14","247","0","6126"
"Spain (ES)","19.11.2021 03:00 - 19.11.2021 04:00 (CET)","588","0","0","9311","843","169","0","0","0","","815","416","204","0","4937","57","100","13","247","0","6241"
"Spain (ES)","19.11.2021 04:00 - 19.11.2021 05:00 (CET)","592","0","0","9311","843","171","0","0","0","","918","415","330","0","4936","58","102","14","245","0","6186"
"Spain (ES)","19.11.2021 05:00 - 19.11.2021 06:00 (CET)","586","0","0","9686","842","170","0","0","0","","13","415","466","0","4936","58","103","14","245","0","6436"
"Spain (ES)","19.11.2021 06:00 - 19.11.2021 07:00 (CET)","590","0","0","11175","842","170","0","0","0","","0","418","1088","0","4936","59","100","13","247","0","6602"
"Spain (ES)","19.11.2021 07:00 - 19.11.2021 08:00 (CET)","581","0","0","13060","842","170","0","0","0","","0","433","2613","0","4935","68","99","13","247","0","6580"
"Spain (ES)","19.11.2021 08:00 - 19.11.2021 09:00 (CET)","590","0","0","13753","842","169","0","0","0","","0","448","3195","0","4932","71","107","482","247","0","6496"
"Spain (ES)","19.11.2021 09:00 - 19.11.2021 10:00 (CET)","583","0","0","13372","842","176","0","0","0","","0","436","2710","0","4931","74","104","2952","241","0","6416"
"Spain (ES)","19.11.2021 10:00 - 19.11.2021 11:00 (CET)","585","0","0","12752","841","180","0","0","0","","0","439","1944","0","4928","76","105","5327","237","0","6336"
"Spain (ES)","19.11.2021 11:00 - 19.11.2021 12:00 (CET)","579","0","0","12453","841","180","0","0","0","","0","415","1094","0","4929","77","107","6478","238","0","6283"
"Spain (ES)","19.11.2021 12:00 - 19.11.2021 13:00 (CET)","567","0","0","12898","841","185","0","0","0","","0","409","1104","0","4935","80","104","6235","238","0","6192"
"Spain (ES)","19.11.2021 13:00 - 19.11.2021 14:00 (CET)","565","0","0","12855","839","185","0","0","0","","5","405","1150","0","4937","76","107","6123","236","0","6272"
"Spain (ES)","19.11.2021 14:00 - 19.11.2021 15:00 (CET)","562","0","0","13104","840","185","0","0","0","","2","413","1218","0","4937","77","110","5441","238","0","6180"
"Spain (ES)","19.11.2021 15:00 - 19.11.2021 16:00 (CET)","559","0","0","13241","839","185","0","0","0","","0","408","1706","0","4936","80","108","4582","239","0","6162"
"Spain (ES)","19.11.2021 16:00 - 19.11.2021 17:00 (CET)","566","0","0","13659","837","186","0","0","0","","6","448","2141","0","4934","79","110","2930","242","0","6097"
"Spain (ES)","19.11.2021 17:00 - 19.11.2021 18:00 (CET)","566","0","0","13917","838","184","0","0","0","","8","473","2993","0","4935","80","110","716","241","0","6173"
"Spain (ES)","19.11.2021 18:00 - 19.11.2021 19:00 (CET)","572","0","0","14495","839","185","0","0","0","","0","507","3487","0","4931","71","112","90","240","0","6731"
"Spain (ES)","19.11.2021 19:00 - 19.11.2021 20:00 (CET)","565","0","0","14608","840","186","0","0","0","","0","536","3424","0","4923","70","111","60","244","0","6963"
"Spain (ES)","19.11.2021 20:00 - 19.11.2021 21:00 (CET)","566","0","0","14780","840","186","0","0","0","","16","541","3240","0","4930","61","113","27","244","0","7059"
"Spain (ES)","19.11.2021 21:00 - 19.11.2021 22:00 (CET)","576","0","0","14531","842","186","0","0","0","","0","525","2441","0","4933","61","111","11","242","0","7169"
"Spain (ES)","19.11.2021 22:00 - 19.11.2021 23:00 (CET)","570","0","0","13902","841","184","0","0","0","","0","492","1739","0","4935","60","112","11","252","0","7289"
"Spain (ES)","19.11.2021 23:00 - 20.11.2021 00:00 (CET)","562","0","0","12842","841","184","0","0","0","","0","479","1107","0","4935","60","111","11","252","0","7283"
